,mom_12_1,mom_6_1,mom_3_1,low_vol,trend,liquidity,quality_proxy
2010-02-01,,,,,,0.011398176291793311,
2010-02-02,,,,,,0.004450716456795484,
2010-02-03,,,,,,-0.12755102040816327,
2010-02-04,,,,,,0.26953973078593135,
2010-02-05,,,,,,-0.11604429005644812,
2010-02-08,,,,,,-0.1105080330004342,
2010-02-09,,,,,,-0.0438558402084238,
2010-02-10,,,,,,-0.0922709509335649,
2010-02-11,,,,,,0.1295049934867564,
2010-02-12,,,,,,-0.17292661745549284,
2010-02-16,,,,,,-0.12635692574902302,
2010-02-17,,,,,,0.06893182805036908,
2010-02-18,,,,,,-0.31990881458966564,
2010-02-19,,,,,,0.24837168910117238,
2010-02-22,,,,,,-0.30405992184107683,
2010-02-23,,,,,,-0.05286582718193661,
2010-02-24,,,,,,-0.18302214502822406,
2010-02-25,,,,,,0.10638297872340426,
2010-02-26,,,,,,-0.14600521059487623,
2010-03-01,,,,,,-0.1955058619192358,
2010-03-02,,,,,,0.26161528441163695,
2010-03-03,,,,,,-0.1282023447676943,
2010-03-04,,,,,,-0.05927051671732523,
2010-03-05,,,,,,-0.1403603994789405,
2010-03-08,,,0.07121146330872774,,,-0.18399913156752062,
2010-03-09,,,-0.43953538862353453,,,-0.21189752496743378,
2010-03-10,,,0.10084672166739037,,,-0.05579678679982631,
2010-03-11,,,0.20766391663048195,,,-0.06231003039513678,
2010-03-12,,,0.36354754667824574,,,-0.04689535388623534,
2010-03-15,,,-0.2091350721317308,,,-0.03913480067660989,
2010-03-16,,,-0.09465914025184541,,,0.012375162831089881,
2010-03-17,,,-0.03734259661311333,,,-0.09411636995223623,
2010-03-18,,,0.27518454190186714,,,-0.16793313069908813,
2010-03-19,,,0.1739036039947894,,,-0.1512158054711246,
2010-03-22,,,-0.15762049500651323,,,0.18247937472861483,
2010-03-23,,,-0.20690403821102907,,,0.3427051671732523,
2010-03-24,,,0.18058457954380183,,,0.15974163438455327,
2010-03-25,,,0.34997828918801555,,,-0.04363873208858011,
2010-03-26,,,-0.1828050369083804,,,-0.1355840208423795,
2010-03-29,,,0.10844550586191924,,,-0.2236213634389926,
2010-03-30,,,-0.16087711680416847,,,0.03907946157186278,
2010-03-31,,,0.10030395136778116,,,-0.18693009118541032,
2010-04-01,,,0.24837168910117238,,,-0.18758141554494137,
2010-04-05,,,0.18085106382978725,,,-0.03354320451584889,
2010-04-06,,,0.05590534085974815,,,0.2153712548849327,
2010-04-07,,,0.12331741207121147,,,0.165979157620495,
2010-04-08,,,-0.12331741207121147,,,-0.025510204081632654,
2010-04-09,,,0.36675984489854785,,,-0.00830461096188809,
2010-04-12,,,0.20885801128962225,,,-0.12874511506730352,
2010-04-13,,,0.6162613981762918,,,-0.0803300043421624,
2010-04-14,,,0.3431393834129396,,,-0.006838905775075988,
2010-04-15,,,-0.3072079895788102,,,-0.07359965262700825,
2010-04-16,,,-0.36474164133738596,,,0.3181719496309162,
2010-04-19,,,0.3849326964828484,,,-0.3178462874511507,
2010-04-20,,,0.3436821537125488,,,-0.10725141120277899,
2010-04-21,,,0.36267911419887106,,,-0.24240121580547114,
2010-04-22,,,-0.048198002605297434,,,0.0121580547112462,
2010-04-23,,,0.16467650890143287,,,-0.34237950499348674,
2010-04-26,,,-0.5592705167173252,,,0.1469821971341728,
2010-04-27,,,-0.15078158923143725,,,0.13276161528441163,
2010-04-28,,,0.4103343465045592,,,-0.014112027789839337,
2010-04-29,,,-0.48458532349109856,,,0.0552540165002171,
